URL_IDENTIFICATION,URL_LENGTH,CHARACTER_SET,SPECIAL_CHARACTERS,SERVER,CONTENT_LENGTH,COUNTRY,STATE,REGISTRATION_DATE,UPDATED_DATE,TCP_PACKETS_EXCHANGE,PORTS_DETECTED,REMOTE_IP,BYTES_TRANSFERRED,REMOTE_APP_PACKETS,SOURCE_APP_PACKETS,REMOTE_APP_BYTES,SOURCE_APP_BYTES,IP_PACKETS,DNS_PACKETS,WEBSITE_TYPE
M0_1374,26,iso-8859-1,6,Apache,199,Panama,PANAMA,19 December 2007,21 November 2016,0,0,0,0,0,0,0,0,0,0,0
M0_159,26,UTF-8,6,Apache/2.4.25 (cPanel) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,3548,NaN,NaN,06 November 1997,06 November 2016,13,0,1,1378,19,19,1856,6226,19,6,0
M0_173,26,utf-8,7,nginx,NaN,America,NY,23 March 1995,03 March 2017,26,19,5,2727,19,30,2991,5765,30,4,0
M0_179,26,NaN,6,tsa_c,0,America,CA,21 January 2000,08 November 2016,43,39,3,6325,50,53,7063,32025,53,10,0
M0_2027,26,ISO-8859-1,6,nginx/1.12.0,5426,America,NEW YORK,27 April 2009,27 February 2017,9,7,4,702,10,9,702,696,9,0,0
M0_2152,26,utf-8,7,Apache/2.2.0 (Fedora),NaN,NaN,NaN,11 October 2000,12 December 2016,11,9,7,882,9,11,882,562,11,0,0
M0_2293,26,UTF-8,6,NaN,NaN,Canada,British Columbia,04 August 1998,10 April 2017,4,3,2,396,6,4,396,482,4,0,0
M0_256,26,iso-8859-1,6,Apache/2,345,America,FL,31 May 2000,02 April 2014,43,0,2,3252,47,47,3564,60076,47,4,0
M0_258,26,utf-8,7,nginx,NaN,America,NY,23 March 1995,03 March 2017,46,12,11,3783,18,50,4047,5605,50,4,0
M0_297,26,utf-8,7,nginx,NaN,America,NY,23 March 1995,03 March 2017,21,8,9,2373,27,25,2637,6199,25,4,0
M0_660,26,utf-8,6,cloudflare-nginx,NaN,America,Washington,23 October 1999,13 August 2016,7,0,2,984,12,11,1300,1650,11,4,0
M0_793,26,ISO-8859-1,6,nginx/1.12.0,NaN,America,Colorado,23 June 2010,23 April 2015,0,0,0,0,0,0,0,0,0,0,0
M0_859,26,us-ascii,6,NaN,324,America,TX,09 March 2000,13 February 2014,0,0,0,0,0,0,0,0,0,0,0
M0_883,26,UTF-8,6,cloudflare-nginx,NaN,America,PA,13 April 1994,13 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1185,23,us-ascii,6,Microsoft-HTTPAPI/2.0,324,Sweden,NaN,16 June 2000,18 May 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1369,23,utf-8,6,nginx,13001,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
M0_1412,23,ISO-8859-1,7,Oracle-iPlanet-Web-Server/7.0,3257,NaN,NaN,13 October 2000,27 April 2017,0,0,0,0,0,0,0,0,0,0,0
M0_2217,23,ISO-8859-1,6,NaN,6748,America,Arizona,31 December 1999,09 April 2017,7,4,5,630,4,7,630,244,7,0,0
M0_2240,23,UTF-8,7,nginx,NaN,NaN,NaN,NaN,NaN,24,5,8,1740,11,24,1740,696,24,0,0
M0_23,23,NaN,6,NaN,NaN,America,TX,30 July 1996,04 July 2016,19,7,6,2404,20,23,2684,6179,23,4,0
M0_928,26,UTF-8,6,nginx,NaN,America,LA,09 June 2010,21 June 2016,0,0,0,0,0,0,0,0,0,0,0
M0_982,26,utf-8,6,nginx/1.12.0,NaN,America,Arizona,29 April 2009,08 March 2017,0,0,0,0,0,0,0,0,0,0,0
A0_67,27,UTF-8,7,Apache/2.2.22 (Debian),8756,GB,WC1N,16 June 2000,16 February 2016,38,0,3,4207,45,44,4679,39662,44,6,1
A0_75,27,UTF-8,7,Apache,193,America,PA,19 January 2015,03 March 2017,9,0,1,1838,13,11,1992,4524,11,2,1
M0_1209,27,UTF-8,8,nginx,NaN,America,WA,11 November 2015,13 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1353,27,us-ascii,6,Microsoft-HTTPAPI/2.0,324,America,CO,22 March 2017,23 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_2085,27,utf-8,6,openresty/1.11.2.1,NaN,America,TEXAS,03 November 2009,04 March 2017,3,3,1,366,5,3,366,306,3,0,0
M0_362,27,UTF-8,6,Apache/2.2.15 (CentOS),NaN,Australia,Queensland,19 July 2010,20 September 2016,40,13,14,3781,44,46,4253,34101,46,6,0
M0_453,27,UTF-8,6,Apache/2.4.25,7967,NaN,NaN,28 April 1997,24 April 2017,6,0,4,631,11,8,787,812,8,2,0
M0_2182,28,ISO-8859-1,7,cloudflare-nginx,NaN,Netherlands,P,30 November 1999,06 March 2017,8,4,6,696,10,8,696,634,8,0,0
M0_2228,28,us-ascii,6,Microsoft-IIS/7.5,324,America,Pennsylvania,11 November 1996,27 April 2015,5,3,3,474,6,5,474,364,5,0,0
M0_229,28,utf-8,7,Apache,8578,Canada,ON,02 October 1995,30 September 2016,21,7,5,2830,25,29,3400,6137,29,8,0
M0_2309,28,UTF-8,6,Apache,10576,India,UTTAR PRADESH,28 June 2011,02 March 2017,14,9,2,2094,12,14,2094,8019,14,0,0
M0_310,28,us-ascii,7,Microsoft-IIS/7.5,324,NaN,NaN,16 August 2016,26 March 2017,17,1,7,1848,24,23,2322,2167,23,6,0
M0_332,28,UTF-8,7,Apache/2.4.25 (Amazon) PHP/7.0.14,12846,America,NC,09 May 2000,11 October 2016,17,12,3,2314,27,23,2740,21419,23,6,0
M0_438,28,UTF-8,7,GSE,6666,America,CA,31 July 2000,29 June 2016,66,5,11,6311,64,70,6633,63634,70,4,0
M0_563,28,iso-8859-1,6,Apache/2.4.23 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,445,America,FL,14 May 1999,02 April 2014,28,5,8,2324,33,30,2482,24662,30,2,0
M0_638,28,UTF-8,8,Apache,NaN,America,Arizona,24 April 2009,18 March 2017,6,0,3,632,8,8,776,593,8,2,0
M0_695,28,us-ascii,7,Microsoft-HTTPAPI/2.0,324,NaN,NaN,NaN,NaN,33,26,4,3590,48,39,4064,30057,39,6,0
M0_835,28,utf-8,6,Pepyaka/1.11.3,NaN,America,NY,06 August 1998,07 November 2014,0,0,0,0,0,0,0,0,0,0,0
M0_96,28,utf-8,6,NaN,NaN,America,CA,22 February 1996,16 January 2015,26,19,3,2632,36,30,2916,27404,30,4,0
M0_981,28,UTF-8,6,nginx,18438,America,California,15 June 2007,12 May 2015,0,0,0,0,0,0,0,0,0,0,0
A0_106,29,ISO-8859-1,7,Apache,7314,America,MD,21 September 2009,09 August 2016,34,0,2,2934,40,40,3416,34995,40,6,1
A0_74,29,us-ascii,7,Microsoft-HTTPAPI/2.0,324,Uganda,kireka,09 April 2002,18 April 2017,5,0,2,593,8,7,751,1128,7,2,1
M0_1044,29,ISO-8859-1,6,Apache,NaN,America,CA,22 April 1997,22 February 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1051,29,NaN,6,tsa_c,0,America,CA,21 January 2000,08 November 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1095,29,ISO-8859-1,8,Apache,9136,America,CA,20 January 1995,22 November 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1096,29,UTF-8,6,Apache,5019,America,IL,28 March 2006,24 February 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1117,29,utf-8,7,nginx,NaN,America,NY,23 March 1995,03 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1154,29,iso-8859-1,6,Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,210,America,Missouri,28 September 2007,28 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1287,29,UTF-8,6,Apache/2.2.22 (Debian),8654,Japan,Osaka,04 February 2017,04 February 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1408,29,iso-8859-1,7,Apache/2.2.22 (Ubuntu),238,Canada,QC,07 March 1996,09 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_170,29,ISO-8859-1,6,Apache,26856,NaN,NaN,04 April 2003,05 April 2017,26,6,5,2519,30,30,2851,22379,30,4,0
M0_2024,29,us-ascii,6,Microsoft-HTTPAPI/2.0,324,America,Michigan,26 August 2015,26 August 2016,12,8,6,900,9,12,900,568,12,0,0
M0_2089,29,UTF-8,7,Apache/2.2.22,NaN,Canada,AB,22 July 2004,23 June 2016,709,708,3,2362906,837,709,2362906,83056,709,0,0
M0_2123,29,UTF-8,6,Apache,10210,America,CA,30 November 2004,07 March 2017,5,4,2,486,7,5,486,542,5,0,0
M0_2128,29,ISO-8859-1,6,Apache,13684,America,Maryland,05 March 2008,14 April 2016,15,8,7,1134,9,15,1134,605,15,0,0
M0_2166,29,us-ascii,6,NaN,324,Canada,Ontario,08 May 2003,09 May 2016,3,3,1,366,5,3,366,306,3,0,0
M0_2242,29,iso-8859-1,6,nginx/1.12.0,770,America,South Carolina,02 November 2010,20 October 2015,5,3,3,486,7,5,486,436,5,0,0
M0_2266,29,UTF-8,8,Apache/2.4.25,6813,America,Texas,23 May 2006,13 July 2016,17,9,10,1249,15,17,1249,1062,17,0,0
M0_259,29,us-ascii,6,Microsoft-HTTPAPI/2.0,324,NaN,NaN,02 July 1998,05 July 2016,34,9,6,2861,26,38,3229,15260,38,4,0
M0_44,29,ISO-8859-1,6,NaN,34,America,California,02 December 1998,02 December 2016,10,2,9,612,14,12,772,918,12,2,0
M0_448,29,ISO-8859-1,7,Apache,NaN,America,CA,22 April 1997,22 February 2017,32,21,8,4561,36,38,4997,10429,38,6,0
M0_499,29,UTF-8,8,GSE,20404,America,CA,31 July 2000,29 June 2016,33,6,5,3533,35,37,3859,46688,37,4,0
M0_626,29,UTF-8,8,Tengine,NaN,China,Zhejiang,15 April 1999,20 June 2012,28,0,5,3183,33,36,3777,24455,36,8,0
M0_642,29,UTF-8,6,Apache/2.4.18 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,7159,America,Arizona,30 May 2003,10 July 2015,21,6,11,1515,18,23,1675,1334,23,2,0
M0_726,29,utf-8,6,Apache/2.2.15 (CentOS),NaN,America,New Mexico,10 January 2002,26 February 2014,24,1,3,2195,30,29,2515,55576,29,4,0
M0_887,29,iso-8859-1,6,Apache,388,America,New York,17 March 2006,14 August 2013,0,0,0,0,0,0,0,0,0,0,0
M0_894,29,ISO-8859-1,6,Apache/2,199,NaN,NaN,01 March 1999,07 March 2013,0,0,0,0,0,0,0,0,0,0,0
M0_920,29,us-ascii,8,Microsoft-HTTPAPI/2.0,324,Australia,QLD,01 July 2015,04 March 2016,0,0,0,0,0,0,0,0,0,0,0
M0_942,29,ISO-8859-1,6,nginx/1.12.0,NaN,Canada,ON,22 January 2006,22 January 2017,0,0,0,0,0,0,0,0,0,0,0
M0_978,29,utf-8,6,NaN,NaN,America,CA,22 February 1996,16 January 2015,0,0,0,0,0,0,0,0,0,0,0
A0_112,30,iso-8859-1,8,Apache,177,NaN,NaN,NaN,NaN,7,0,2,666,9,9,826,1094,9,2,1
M0_1052,30,utf-8,6,Apache/2.4.10 (Debian),NaN,Sweden,NaN,06 March 1996,28 October 2013,0,0,0,0,0,0,0,0,0,0,0
M0_1388,30,iso-8859-1,6,Apache/2.4.6 (CentOS) PHP/5.6.8,199,America,MA,08 February 2013,15 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_160,30,utf-8,7,nginx,NaN,America,NY,23 March 1995,03 March 2017,14,9,3,1918,17,18,2182,5546,18,4,0
M0_169,30,ISO-8859-1,6,NaN,NaN,America,CA,29 March 1997,29 November 2016,62,52,12,8974,69,76,10006,30726,76,14,0
M0_209,30,ISO-8859-1,6,Apache,NaN,America,CA,22 April 1997,22 February 2017,22,17,2,3914,27,28,4350,9833,28,6,0
M0_2097,30,ISO-8859-1,6,Sun-ONE-Web-Server/6.1,NaN,NaN,NaN,15 April 2003,19 February 2016,18,17,5,1188,19,18,1188,1451,18,0,0
M0_2206,30,NaN,6,Apache/2.4.18 (Unix) OpenSSL/1.0.2e Communique/4.1.10,NaN,America,WI,24 October 1996,19 October 2016,6,4,4,552,9,6,552,564,6,0,0
M0_2282,30,UTF-8,6,Apache,14703,America,Texas,04 August 1998,04 September 2013,2,2,1,276,4,2,276,250,2,0,0
M0_330,30,UTF-8,6,nginx,8751,America,FL,30 April 2016,04 October 2016,15,2,6,1528,17,19,1860,5586,19,4,0
M0_348,30,us-ascii,6,Microsoft-HTTPAPI/2.0,324,America,NJ,30 December 1999,08 January 2016,90,6,14,8646,100,92,8808,95659,92,2,0
M0_369,30,ISO-8859-1,7,Apache,NaN,America,CA,22 April 1997,22 February 2017,31,26,2,4412,37,37,4848,27412,37,6,0
M0_560,30,utf-8,6,NaN,NaN,America,CA,22 February 1996,16 January 2015,31,23,3,3605,41,39,4183,34388,39,8,0
M0_639,30,ISO-8859-1,6,NaN,NaN,America,CA,29 March 1997,29 November 2016,76,47,12,9007,44,88,9891,23985,88,12,0
M0_711,30,utf-8,7,AmazonS3,350,America,Arizona,13 July 2001,26 April 2015,23,1,10,1902,26,27,2194,2764,27,4,0
M0_73,30,ISO-8859-1,7,Apache/1.3.37 (Unix) mod_perl/1.29 mod_ssl/2.8.28 OpenSSL/0.9.7e-p1,NaN,America,GA,29 May 1996,21 March 2017,48,3,6,3418,48,52,3706,57377,52,4,0
M0_824,30,UTF-8,8,cloudflare-nginx,NaN,America,CA,25 February 2004,16 January 2016,0,0,0,0,0,0,0,0,0,0,0
M0_891,30,utf-8,6,NaN,NaN,America,CA,22 February 1996,16 January 2015,0,0,0,0,0,0,0,0,0,0,0
M0_931,30,ISO-8859-1,7,Apache,NaN,America,CA,22 April 1997,22 February 2017,0,0,0,0,0,0,0,0,0,0,0
A0_73,31,us-ascii,7,Microsoft-IIS/7.5,324,America,CA,09 April 2002,20 March 2017,7,0,2,707,11,11,1031,1018,11,4,1
M0_1028,31,utf-8,8,ATS,604,America,CA,18 January 1995,26 August 2015,0,0,0,0,0,0,0,0,0,0,0
M0_1114,31,iso-8859-1,7,Apache/2.2.27 (CentOS),287,NaN,NaN,25 October 2014,26 October 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1127,31,ISO-8859-1,7,Apache,NaN,America,CA,22 April 1997,22 February 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1241,31,utf-8,8,Apache,65815,America,MO,20 May 1996,24 October 2016,0,0,0,0,0,0,0,0,0,0,0
M0_140,31,ISO-8859-1,6,NaN,NaN,America,CA,29 March 1997,29 November 2016,65,53,14,8568,70,77,9452,26049,77,12,0
M0_2158,31,UTF-8,6,Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips DAV/2 mod_bwlimited/1.4,NaN,NaN,NaN,14 July 2000,22 March 2017,9,3,7,738,12,9,738,766,9,0,0
M0_2278,31,utf-8,7,CherryPy/3.6.0,4075,Canada,ON,01 December 1996,30 November 2016,4,3,2,432,6,4,432,372,4,0,0
M0_263,31,iso-8859-1,8,Apache/2.2.15 (CentOS),287,India,HR,11 November 2000,03 May 2012,5,0,1,593,9,9,929,955,9,4,0
M0_501,31,utf-8,7,nginx,NaN,America,NY,23 March 1995,03 March 2017,28,13,13,2773,32,32,3037,6566,32,4,0
M0_504,31,UTF-8,7,Apache/2.2.15 (Red Hat),5132,America,FL,04 September 2004,24 August 2016,27,0,3,2743,33,33,3181,43878,33,6,0
M0_597,31,us-ascii,6,Microsoft-IIS/7.5,324,America,Missouri,09 September 2005,10 September 2016,23,1,4,2262,28,29,2736,16553,29,6,0
M0_966,27,ISO-8859-1,7,Apache,11506,America,FL,04 March 1996,07 January 2015,0,0,0,0,0,0,0,0,0,0,0
A0_21,28,UTF-8,9,Apache/2.2.15 (CentOS),NaN,Russia,MOSCOW,24 October 2007,22 October 2016,5,0,1,592,9,7,732,1062,7,2,1
A0_94,28,us-ascii,7,Microsoft-HTTPAPI/2.0,324,America,FL,21 October 2004,14 October 2014,5,0,2,556,9,9,860,1154,9,4,1
M0_1020,28,utf-8,8,nginx,39036,[u'GB'; u'United Kingdom'],UK,2002-03-20T23:59:59.0Z,2017-03-07T22:02:38.0Z,0,0,0,0,0,0,0,0,0,0,0
M0_1038,28,ISO-8859-1,6,NaN,NaN,America,CA,29 March 1997,29 November 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1357,28,iso-8859-1,7,Apache,NaN,France,NaN,10 June 2008,09 June 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1413,28,ISO-8859-1,7,cloudflare-nginx,NaN,Netherlands,P,30 November 1999,06 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_2061,28,us-ascii,7,NaN,NaN,America,NH,30 August 2004,18 August 2016,6,4,3,552,8,6,552,612,6,0,0
M0_65,31,us-ascii,6,Microsoft-HTTPAPI/2.0,324,NaN,NaN,NaN,NaN,18,14,3,2201,23,22,2543,7756,22,4,0
M0_658,31,ISO-8859-1,6,Apache,NaN,NaN,NaN,22 April 1997,22 February 2017,23,17,3,3981,27,29,4417,9867,29,6,0
M0_698,31,us-ascii,8,Microsoft-HTTPAPI/2.0,324,America,FL,07 August 1996,14 May 2015,103,0,3,7073,113,105,7217,179439,105,2,0
M0_705,31,UTF-8,6,Apache,NaN,America,MD,30 December 2005,05 November 2015,13,8,8,1355,16,16,1519,1145,16,2,0
M0_761,31,ISO-8859-1,7,NaN,NaN,America,CA,29 March 1997,29 November 2016,57,45,12,8136,64,69,9020,25686,69,12,0
M0_850,31,utf-8,7,Apache,22004,America,CA,04 April 2006,03 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_945,31,ISO-8859-1,6,Apache,NaN,America,CA,22 April 1997,22 February 2017,0,0,0,0,0,0,0,0,0,0,0
M0_992,31,iso-8859-1,7,Apache/2,345,America,Texas,25 May 2000,24 May 2016,0,0,0,0,0,0,0,0,0,0,0
A0_136,32,UTF-8,11,nginx,643,NaN,NaN,NaN,NaN,22,1,5,2783,26,30,3367,3824,30,8,1
A0_140,32,UTF-8,9,nginx,637,NaN,NaN,NaN,NaN,14,1,4,1457,16,20,1881,3229,20,6,1
M0_1175,32,UTF-8,8,Server,NaN,America,WA,05 January 1996,05 May 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1181,32,ISO-8859-1,6,NaN,34,America,Missouri,09 July 2008,14 July 2008,0,0,0,0,0,0,0,0,0,0,0
M0_1222,32,UTF-8,8,Server,NaN,America,WA,05 January 1996,05 May 2016,0,0,0,0,0,0,0,0,0,0,0
M0_128,32,utf-8,9,KHL,420762,NaN,NaN,10 May 2006,NaN,17,5,8,1314,26,19,1452,1881,19,2,0
